ufficio,tipo,grado,articolo,esito,numero,affidabilita,fonte
Tribunale di Foggia,Tribunale,I,423,archiviazione,147,alta,prospetto Foggia
Tribunale di Foggia,Tribunale,I,423bis,condanna,2,alta,prospetto Foggia
Tribunale di Foggia,Tribunale,I,423bis,assoluzione,2,alta,prospetto Foggia
Tribunale di Foggia,Tribunale,I,423bis,patteggiamento,1,alta,prospetto Foggia
Tribunale di Foggia,Tribunale,I,423bis,archiviazione,432,alta,prospetto Foggia
Tribunale di Foggia,Tribunale,I,449,condanna,3,alta,prospetto Foggia
Tribunale di Foggia,Tribunale,I,449,assoluzione,1,alta,prospetto Foggia
Tribunale di Foggia,Tribunale,I,449,archiviazione,5,alta,prospetto Foggia
Tribunale di Grosseto,Tribunale,I,423,condanna,4,alta,prospetto Grosseto
Tribunale di Grosseto,Tribunale,I,423,assoluzione,2,alta,prospetto Grosseto
Tribunale di Grosseto,Tribunale,I,423,patteggiamento,5,alta,prospetto Grosseto
Tribunale di Grosseto,Tribunale,I,423,archiviazione,162,alta,prospetto Grosseto
Tribunale di Grosseto,Tribunale,I,449,condanna,1,alta,prospetto Grosseto
Tribunale di Grosseto,Tribunale,I,449,assoluzione,1,alta,prospetto Grosseto
Tribunale di Grosseto,Tribunale,I,449,prescrizione,1,alta,prospetto Grosseto
Tribunale di Grosseto,Tribunale,I,449,patteggiamento,4,alta,prospetto Grosseto
Tribunale di Grosseto,Tribunale,I,449,archiviazione,214,alta,prospetto Grosseto
Tribunale di Isernia,Tribunale,I,423,assoluzione,1,bassa,riepilogo Isernia
Tribunale di Isernia,Tribunale,I,423,patteggiamento,1,bassa,riepilogo Isernia
Tribunale di Isernia,Tribunale,I,423,archiviazione,1,bassa,riepilogo Isernia
Tribunale di Isernia,Tribunale,I,449,condanna,1,bassa,riepilogo Isernia
Tribunale di Isernia,Tribunale,I,449,assoluzione,1,bassa,riepilogo Isernia
Tribunale di Isernia,Tribunale,I,449,patteggiamento,5,bassa,riepilogo Isernia
Tribunale di Matera,Tribunale,I,423,condanna,5,alta,prospetto Matera
Tribunale di Matera,Tribunale,I,423,assoluzione,10,alta,prospetto Matera
Tribunale di Matera,Tribunale,I,423,patteggiamento,8,alta,prospetto Matera
Tribunale di Matera,Tribunale,I,423,archiviazione,15,alta,prospetto Matera
Tribunale di Matera,Tribunale,I,449,assoluzione,11,alta,prospetto Matera
Tribunale di Matera,Tribunale,I,449,prescrizione,1,alta,prospetto Matera
Tribunale di Matera,Tribunale,I,449,patteggiamento,8,alta,prospetto Matera
Tribunale di Matera,Tribunale,I,449,archiviazione,15,alta,prospetto Matera
Tribunale di Sassari,Tribunale,I,423,condanna,2,media,prospetto Sassari
